,tilename,UG1,UG2,NP1,NP2,NP3,NP4,NP5
695,NA37UCDtemporalgyri _4G8/NA37UCDtemporalgyri _4G8_6_8_65.jpg,"(0.5112963318824768, 0.8938502669334412, 0.04500604420900345)","(0.5754840970039368, 0.9208293557167053, 0.0004890154814347625)","(0.9669154286384583, 0.9776074290275574, 1.5601637642248534e-05)","(0.9707286357879639, 0.44655096530914307, 5.27604697708739e-08)","(0.18594610691070557, 0.9214717745780945, 0.0008218394941650331)","(0.14713282883167267, 0.9960095882415771, 6.263328396016732e-05)","(0.2333529144525528, 0.9652312994003296, 4.22071861976292e-05)"
696,NA28UCDtemporalgyri _4G8/NA28UCDtemporalgyri _4G8_16_15_29.jpg,"(2.8371510779834352e-05, 0.9766531586647034, 0.9955090284347534)","(0.0028570513240993023, 0.9820317029953003, 0.10919289290904999)","(6.543923518620431e-05, 0.9961299896240234, 0.6747985482215881)","(0.0006550916587002575, 0.40445777773857117, 1.9424349375185557e-05)","(0.044090814888477325, 0.772681713104248, 0.013348526321351528)","(0.00119390815962106, 0.8535052537918091, 0.22568121552467346)","(0.010344957001507282, 0.9976141452789307, 0.286553293466568)"
697,cw15-29/cw15-29_7_20_15.jpg,"(0.7018388509750366, 0.8734936118125916, 0.021826552227139473)","(0.10356341302394867, 0.8443479537963867, 0.016684507951140404)","(0.9946428537368774, 0.1319446712732315, 0.0001605758152436465)","(0.9639416933059692, 0.05787364020943642, 0.00028378298156894743)","(0.912240207195282, 0.45673078298568726, 0.005971229635179043)","(0.7306511402130127, 0.4769878685474396, 0.6302129626274109)","(0.9963476061820984, 0.036381397396326065, 0.00037531316047534347)"
698,NA28UCDtemporalgyri _4G8/NA28UCDtemporalgyri _4G8_24_11_12.jpg,"(5.5465388868469745e-05, 0.0043715848587453365, 1.0)","(0.0025525290984660387, 0.0005187987117096782, 0.7375805377960205)","(2.9097034257574705e-06, 2.611838499433361e-05, 0.9999991655349731)","(2.4743728772591567e-06, 1.3141237104719039e-05, 0.98262619972229)","(2.904541361203883e-05, 1.7664946426521055e-05, 0.9999456405639648)","(0.5814554691314697, 0.028769418597221375, 0.8779169321060181)","(4.811130907000916e-07, 3.41622180712875e-05, 0.9999653100967407)"
699,cw15-29/cw15-29_15_28_13.jpg,"(0.00018360976537223905, 0.0005659913877025247, 0.9999231100082397)","(9.009651694213971e-05, 0.0030187959782779217, 0.36457201838493347)","(5.2867104386677966e-05, 0.016643643379211426, 0.9815745949745178)","(2.0534751001832774e-06, 0.01143745705485344, 0.6296368837356567)","(2.8446760325095966e-07, 1.2834817425755318e-05, 0.9665162563323975)","(3.919789833162213e-06, 0.00041363772470504045, 0.9969912767410278)","(2.4022960133152083e-05, 0.0003069484082516283, 0.999178946018219)"
700,NA7UCDtemporalgyri _4G8/NA7UCDtemporalgyri _4G8_3_22_5.jpg,"(2.8970966923225205e-06, 0.01546427235007286, 0.9999997615814209)","(3.0215869628591463e-05, 0.011678185313940048, 0.955561101436615)","(0.0003363551804795861, 0.9976781010627747, 0.0017802953952923417)","(0.000839823973365128, 0.0008142087608575821, 0.0003226010303478688)","(0.0019213027553632855, 0.008708559907972813, 0.21709135174751282)","(0.6890323758125305, 0.10357445478439331, 0.0417487695813179)","(1.4478119737759698e-05, 0.36398571729660034, 0.9757862687110901)"
701,NA23UCDtemporalgyri _4G8/NA23UCDtemporalgyri _4G8_13_31_7.jpg,"(0.00017200988077092916, 0.11414813995361328, 0.990906834602356)","(3.1484660212299787e-07, 0.0013486569514498115, 0.9996397495269775)","(2.6030682420241646e-05, 0.022589754313230515, 0.9227715730667114)","(2.391342968621757e-05, 0.0001717977866064757, 0.0214812271296978)","(1.1675853784254286e-05, 0.0008714449359104037, 0.4460412263870239)","(0.0012888064375147223, 0.015734238550066948, 0.44670265913009644)","(3.198223566869274e-05, 0.4650624096393585, 0.9684014320373535)"
702,NA15UCDtemporalgyri _4G8/NA15UCDtemporalgyri _4G8_9_9_21.jpg,"(0.913979709148407, 0.891958475112915, 5.253583594821976e-07)","(0.5390877723693848, 0.9620498418807983, 1.3904240404372104e-05)","(0.12090311199426651, 0.9937439560890198, 1.879367772517071e-08)","(0.64478600025177, 0.9007619619369507, 7.604814555861594e-08)","(0.0851580947637558, 0.9804839491844177, 5.547895653990054e-08)","(0.06684432178735733, 0.9998162388801575, 1.895775881166628e-06)","(0.06742233783006668, 0.9985964894294739, 1.5932980659272289e-06)"
703,40-3_UTSW_temporal_6E10/40-3_UTSW_temporal_6E10_12_15_11.jpg,"(0.981894314289093, 0.8726059794425964, 0.0025021249894052744)","(0.997822642326355, 0.25108328461647034, 3.095337888225913e-05)","(0.9993867874145508, 0.08340579271316528, 4.62614525531535e-06)","(0.8762269020080566, 0.6627310514450073, 0.00012507510837167501)","(0.9540261626243591, 0.31502875685691833, 2.367299657635158e-06)","(0.9981033802032471, 0.8200154304504395, 3.493572148727253e-05)","(0.9936540126800537, 0.16070140898227692, 7.09198093318264e-06)"
704,NA37UCDtemporalgyri _4G8/NA37UCDtemporalgyri _4G8_8_11_9.jpg,"(0.1430564522743225, 0.9984875917434692, 0.052925873547792435)","(0.1000635102391243, 0.9982473850250244, 0.00015655916649848223)","(0.09201401472091675, 0.998481810092926, 9.392852916789707e-06)","(0.056733388453722, 0.9710029363632202, 8.531403000233695e-05)","(0.42960506677627563, 0.9702305793762207, 3.1230160857376177e-06)","(0.0006991892005316913, 0.9999969005584717, 5.401790986070409e-06)","(0.09268704056739807, 0.9730404615402222, 4.751605956698768e-05)"
705,cw15-29/cw15-29_3_31_58.jpg,"(8.110582143672218e-07, 0.0004976342897862196, 0.9999980926513672)","(0.0001406342489644885, 6.3756262534298e-05, 0.9114556908607483)","(2.1597275917883962e-05, 5.939068796578795e-05, 0.8705178499221802)","(3.122718439385608e-08, 4.828496457776055e-06, 0.8380873203277588)","(3.675673809766522e-08, 1.4780504898226354e-05, 0.7740085124969482)","(0.00025339375133626163, 6.163673242554069e-05, 0.999660849571228)","(4.0604376749797666e-07, 6.323360139504075e-05, 0.9991672039031982)"
706,NA28UCDtemporalgyri _4G8/NA28UCDtemporalgyri _4G8_25_15_7.jpg,"(0.0001061063157976605, 0.0020048324950039387, 0.9999852180480957)","(4.640194674720988e-05, 2.4645742087159306e-05, 0.7914745807647705)","(1.963866225196398e-06, 0.00043901606113649905, 0.9868257641792297)","(5.506349225470331e-07, 4.018376421299763e-05, 0.9582847356796265)","(6.366252591760713e-08, 7.985745469341055e-06, 0.9989126920700073)","(8.521877248313103e-07, 2.3691995011176914e-05, 0.9989737272262573)","(3.893746907124296e-07, 3.630753326433478e-06, 0.9975709319114685)"
707,NA28UCDtemporalgyri _4G8/NA28UCDtemporalgyri _4G8_7_25_29.jpg,"(0.014851490966975689, 0.3639073669910431, 0.9999719858169556)","(0.0010565248085185885, 0.3181038796901703, 0.002848896197974682)","(2.1637391910189763e-05, 0.019465642049908638, 0.6669208407402039)","(0.00033697063918225467, 0.007523690350353718, 0.23007984459400177)","(2.7447663342172746e-06, 0.44235581159591675, 0.7180786728858948)","(0.005891788750886917, 0.1168229803442955, 0.9918992519378662)","(3.823485712928232e-06, 0.002003955887630582, 0.9990882873535156)"
708,NA27UCDtemporalgyri _4G8/NA27UCDtemporalgyri _4G8_6_26_29.jpg,"(0.7753360271453857, 0.9652532935142517, 3.979812390753068e-05)","(0.32764148712158203, 0.9877951145172119, 8.649371920910198e-06)","(0.23009447753429413, 0.9953922033309937, 2.2006517497175082e-07)","(0.4439637362957001, 0.890123188495636, 6.255445896385936e-06)","(0.7248800992965698, 0.9523029327392578, 1.0168427024837001e-06)","(0.08722460269927979, 0.9984651803970337, 2.148222120013088e-05)","(0.9197490215301514, 0.6895366907119751, 0.00516556715592742)"
709,NA28UCDtemporalgyri _4G8/NA28UCDtemporalgyri _4G8_16_8_50.jpg,"(0.6397960186004639, 0.9757702350616455, 0.0037784583400934935)","(0.015625977888703346, 0.17316219210624695, 0.8561488389968872)","(0.6523835062980652, 0.7738552689552307, 0.06081468239426613)","(0.8224536180496216, 0.2313757687807083, 3.4032789244520245e-06)","(0.4563986361026764, 0.8531584739685059, 0.1715327799320221)","(0.001304076169617474, 0.9961705803871155, 0.585845410823822)","(0.9409122467041016, 0.09102553129196167, 0.01328487228602171)"
710,NA37UCDtemporalgyri _4G8/NA37UCDtemporalgyri _4G8_11_28_46.jpg,"(0.7439243197441101, 0.9980307221412659, 0.0008981331484392285)","(0.0987253189086914, 0.9997177720069885, 0.000556240207515657)","(0.20722749829292297, 0.9999805688858032, 5.727169263991527e-05)","(0.9129179120063782, 0.9940635561943054, 9.204895832226612e-07)","(0.0911027044057846, 0.9999604225158691, 4.289592681061549e-08)","(0.0072678509168326855, 1.0, 9.008646884467453e-05)","(0.11573990434408188, 0.9992652535438538, 6.066573860152857e-06)"
711,40-3_UTSW_temporal_6E10/40-3_UTSW_temporal_6E10_11_23_7.jpg,"(0.6166720390319824, 0.7689560055732727, 0.021766161546111107)","(0.8716424107551575, 0.11563123762607574, 0.001081851776689291)","(0.7763182520866394, 0.5000319480895996, 0.0013059008633717895)","(0.7115012407302856, 0.4977419972419739, 7.614988135173917e-05)","(0.7333636283874512, 0.8127461075782776, 7.503230881411582e-05)","(0.2088802605867386, 0.9886689782142639, 0.0006574386497959495)","(0.33064278960227966, 0.8489192128181458, 0.004948871675878763)"
712,NA28UCDtemporalgyri _4G8/NA28UCDtemporalgyri _4G8_15_38_3.jpg,"(0.7927196025848389, 0.6955796480178833, 7.050688964227447e-06)","(0.9354532957077026, 0.8354380130767822, 2.360863859962592e-08)","(0.9890346527099609, 0.6837301254272461, 5.867998993380752e-07)","(0.9953317046165466, 0.3566184341907501, 2.126040953953634e-06)","(0.5425220727920532, 0.9717258214950562, 3.320520409033634e-05)","(0.019014382734894753, 0.9996687173843384, 1.5915902622509748e-05)","(0.5947098731994629, 0.9327667355537415, 1.4119088518782519e-05)"
713,8-3_UTSW_temporal_6E10/8-3_UTSW_temporal_6E10_7_22_2.jpg,"(5.8487814385443926e-05, 0.01669214479625225, 0.9999876022338867)","(8.756768511375412e-05, 0.0024145711213350296, 0.9991855025291443)","(0.000957296637352556, 0.017972124740481377, 0.9998639822006226)","(2.806075463013258e-05, 0.00014086670125834644, 0.999914288520813)","(2.694064096431248e-05, 0.12407510727643967, 0.9936796426773071)","(0.013781340792775154, 0.01506543718278408, 0.9978941082954407)","(3.3311484003206715e-05, 0.0004927670233882964, 0.9999767541885376)"
714,NA15UCDtemporalgyri _4G8/NA15UCDtemporalgyri _4G8_7_17_3.jpg,"(0.00046217316412366927, 0.18774399161338806, 0.9999101161956787)","(2.3237025743583217e-06, 0.1218181625008583, 0.952335774898529)","(1.542312566016335e-05, 0.31862807273864746, 0.5299974083900452)","(1.602330303285271e-05, 0.005589652340859175, 0.24264992773532867)","(3.5487610716700146e-07, 0.2274709939956665, 0.9911028146743774)","(0.0011279816972091794, 0.8851115703582764, 0.8689510822296143)","(1.918058842420578e-06, 0.07914102077484131, 0.9995598196983337)"
715,NA37UCDtemporalgyri _4G8/NA37UCDtemporalgyri _4G8_4_27_26.jpg,"(0.3418022096157074, 0.9147882461547852, 0.0008088786853477359)","(0.19637639820575714, 0.8911828398704529, 0.00167463521938771)","(0.8090319633483887, 0.9229126572608948, 2.978492261718202e-07)","(0.7168705463409424, 0.5192490220069885, 1.0415243423267384e-06)","(0.5926995873451233, 0.8954905271530151, 9.763732577994233e-08)","(0.002136944094672799, 0.9999916553497314, 5.234323543845676e-05)","(0.6976511478424072, 0.491291344165802, 1.6884490605661995e-06)"
716,NA37UCDtemporalgyri _4G8/NA37UCDtemporalgyri _4G8_12_2_10.jpg,"(0.992052435874939, 0.8505713939666748, 0.00030158087611198425)","(0.9409081339836121, 0.8220102190971375, 0.0002915704098995775)","(0.9979658126831055, 0.9552505016326904, 1.4227285873857909e-06)","(0.991688072681427, 0.42242470383644104, 8.617249136477767e-09)","(0.9240424633026123, 0.9567221999168396, 1.0670315475636016e-07)","(0.11931631714105606, 0.9998573064804077, 0.00033989327494055033)","(0.9488126039505005, 0.555087149143219, 1.4272522719238623e-07)"
717,cw13-0/cw13-0_19_17_22.jpg,"(2.262157295263023e-06, 4.863564299739664e-06, 0.9999994039535522)","(0.00016654253704473376, 3.9527534681838006e-05, 0.8807810544967651)","(6.79182392104849e-07, 4.3641048250719905e-05, 0.9808500409126282)","(2.4191476200030593e-07, 7.445037044817582e-05, 0.5487001538276672)","(1.690530189080164e-05, 8.78105943513674e-09, 0.8834822177886963)","(7.60366820031777e-05, 8.82479507708922e-05, 0.9966854453086853)","(1.3838618997397134e-06, 1.0485824759598472e-06, 0.9999767541885376)"
718,cw13-0/cw13-0_18_22_1.jpg,"(0.002569295931607485, 0.008177933283150196, 0.7582268714904785)","(0.001056831912137568, 0.011392376385629177, 0.3689464330673218)","(0.009729822166264057, 0.13167299330234528, 0.03471691533923149)","(0.005586771760135889, 0.04717528074979782, 0.010264920070767403)","(0.04769255965948105, 0.10993388295173645, 0.060826562345027924)","(0.005222741048783064, 0.08012297004461288, 0.9751841425895691)","(0.0012443216983228922, 0.10365444421768188, 0.9951736330986023)"
719,NA23UCDtemporalgyri _4G8/NA23UCDtemporalgyri _4G8_16_16_2.jpg,"(0.9180809855461121, 0.6058360934257507, 0.00023031601449474692)","(0.9676318764686584, 0.23205609619617462, 3.763791755773127e-05)","(0.9996161460876465, 0.15609082579612732, 2.4827360903145745e-05)","(0.9780123829841614, 0.24186724424362183, 0.0006798130925744772)","(0.9959287047386169, 0.375851035118103, 6.552085096700466e-08)","(0.965326726436615, 0.9353891015052795, 2.1689286313630873e-06)","(0.7464001178741455, 0.8497509360313416, 3.942779130738927e-06)"
720,cw15-12/cw15-12_28_37_83.jpg,"(3.4343142942816485e-06, 0.00105641211848706, 1.0)","(0.00045696517918258905, 0.00017372029833495617, 0.9996976852416992)","(6.992966063990025e-07, 3.9991334688238567e-07, 0.9999903440475464)","(2.9033637716224803e-08, 2.3431550289387815e-05, 0.9061550498008728)","(1.850916123657953e-05, 2.5219726467184955e-06, 0.9999665021896362)","(0.0008718938915990293, 0.0007951330626383424, 0.9998968839645386)","(7.09315202129801e-07, 1.0371192729508039e-05, 0.9999959468841553)"
721,NA37UCDtemporalgyri _4G8/NA37UCDtemporalgyri _4G8_13_3_45.jpg,"(0.22898060083389282, 0.09275192022323608, 0.06203196942806244)","(0.1957911252975464, 0.6255831718444824, 0.00013925273378845304)","(0.028559649363160133, 0.9786337614059448, 0.0021129308734089136)","(0.13964200019836426, 0.8090223073959351, 6.507918897113996e-07)","(0.6730342507362366, 0.9922165870666504, 0.00017469785234425217)","(0.5590230226516724, 0.9098430275917053, 2.8375869078445248e-05)","(0.07772672921419144, 0.7113050222396851, 0.0020864070393145084)"
722,8-3_UTSW_temporal_6E10/8-3_UTSW_temporal_6E10_7_24_5.jpg,"(9.848173476711963e-07, 0.050375547260046005, 0.9999994039535522)","(1.2460737707442604e-05, 0.0008042989065870643, 0.9999960660934448)","(0.0002562464796938002, 0.03554852306842804, 0.9999185800552368)","(9.725032334984007e-09, 4.390080721350387e-05, 0.9998993873596191)","(0.0014161518774926662, 0.013521765358746052, 0.9976430535316467)","(0.005830016918480396, 0.4484432339668274, 0.8554747104644775)","(1.840574805100914e-05, 0.0016547446139156818, 0.9999974966049194)"
723,NA27UCDtemporalgyri _4G8/NA27UCDtemporalgyri _4G8_5_28_71.jpg,"(0.8016315698623657, 0.8942351341247559, 1.0534846296650358e-05)","(0.6653303503990173, 0.9569036960601807, 2.1022031432949007e-05)","(0.5488171577453613, 0.9344456195831299, 4.563367045351541e-11)","(0.20966215431690216, 0.5341449975967407, 1.6454259821330197e-07)","(0.41171547770500183, 0.8076984286308289, 1.737491743369901e-06)","(0.9503412246704102, 0.4701364040374756, 1.2735835298371967e-05)","(0.463260293006897, 0.8679727911949158, 0.0007654089713469148)"
724,8-3_UTSW_temporal_6E10/8-3_UTSW_temporal_6E10_8_25_30.jpg,"(6.044284600648098e-05, 0.9897682070732117, 0.9989572763442993)","(3.5596012821770273e-06, 0.3322562575340271, 0.9990897178649902)","(0.04562228545546532, 0.9712002277374268, 0.9927728772163391)","(1.6487309039803222e-05, 0.06091120094060898, 0.9923703670501709)","(0.00028878755983896554, 0.8355183005332947, 0.9808086156845093)","(4.4278331188252196e-06, 0.9837114214897156, 0.9998631477355957)","(0.0005173474201001227, 0.6636133790016174, 0.9988518953323364)"
725,17-3_UTSW_temporal_6E10/17-3_UTSW_temporal_6E10_11_22_18.jpg,"(0.07426420599222183, 0.9562743902206421, 0.05203316733241081)","(0.04295219108462334, 0.9877514839172363, 0.0002957605174742639)","(0.005898258648812771, 0.9994188547134399, 2.1512871171580628e-05)","(0.008457719348371029, 0.6410360932350159, 0.016721943393349648)","(0.1858866810798645, 0.5690693259239197, 0.00011263143096584827)","(0.0020279574673622847, 0.9947901964187622, 0.11721891909837723)","(0.008137892000377178, 0.9939768314361572, 0.02200331538915634)"
726,NA28UCDtemporalgyri _4G8/NA28UCDtemporalgyri _4G8_20_22_48.jpg,"(0.16229544579982758, 0.9970411658287048, 0.0003016188566107303)","(0.0092032290995121, 0.9197162985801697, 0.00775031978264451)","(0.024044374004006386, 0.9753847122192383, 0.0002988623164128512)","(0.23487170040607452, 0.8301233649253845, 1.6057552784332074e-05)","(0.5999026298522949, 0.7749530673027039, 0.00050363625632599)","(0.006268797442317009, 0.9989781379699707, 0.0006403160514310002)","(0.03694036975502968, 0.9593437314033508, 0.01656978204846382)"
727,17-3_UTSW_temporal_6E10/17-3_UTSW_temporal_6E10_15_8_18.jpg,"(0.9951602816581726, 0.8531548976898193, 0.0006441646255552769)","(0.99512779712677, 0.5710921883583069, 2.06855065698619e-06)","(0.9135656356811523, 0.939526379108429, 4.033191726193763e-05)","(0.6238579750061035, 0.6646567583084106, 0.005080890376120806)","(0.9479115009307861, 0.8445733189582825, 2.6472509489394724e-05)","(0.9996957778930664, 0.914109468460083, 6.22199058852857e-06)","(0.9885503649711609, 0.24208015203475952, 1.211613925988786e-05)"
728,8-3_UTSW_temporal_6E10/8-3_UTSW_temporal_6E10_9_21_16.jpg,"(0.9745930433273315, 0.8366800546646118, 0.0005317042232491076)","(0.9727634191513062, 0.9409358501434326, 3.683605245896615e-05)","(0.9873782992362976, 0.9177704453468323, 0.0002632523828651756)","(0.6459763646125793, 0.4859113395214081, 0.004628679249435663)","(0.9018889665603638, 0.8365926146507263, 1.434871865058085e-05)","(0.9064770936965942, 0.9998952150344849, 0.0006247673882171512)","(0.8472789525985718, 0.8989231586456299, 0.00013050821144133806)"
729,NA37UCDtemporalgyri _4G8/NA37UCDtemporalgyri _4G8_14_10_1.jpg,"(0.3190132677555084, 0.5814511179924011, 0.0006545683718286455)","(0.12713941931724548, 0.8261508941650391, 0.01768321916460991)","(0.5315324664115906, 0.8766544461250305, 0.00014807110710535198)","(0.693871021270752, 0.5087699294090271, 5.888499799766578e-05)","(0.13198493421077728, 0.8705220222473145, 5.1374066970311105e-05)","(0.40387409925460815, 0.9957459568977356, 0.00010119457147084177)","(0.21916882693767548, 0.9047383069992065, 7.088726124493405e-05)"
730,NA37UCDtemporalgyri _4G8/NA37UCDtemporalgyri _4G8_13_3_0.jpg,"(0.23570619523525238, 0.9981327652931213, 0.010054418817162514)","(0.16353997588157654, 0.9902769327163696, 0.008537458255887032)","(0.0265338197350502, 0.9999830722808838, 0.006003544665873051)","(0.2399122565984726, 0.9692823886871338, 0.0003921404422726482)","(0.7904370427131653, 0.9919857978820801, 9.906729974318296e-05)","(0.0009423763258382678, 0.9998955726623535, 0.0016487498069182038)","(0.4880092740058899, 0.8115906119346619, 0.000347486580722034)"
731,NA37UCDtemporalgyri _4G8/NA37UCDtemporalgyri _4G8_10_12_44.jpg,"(0.3785419166088104, 0.9852149486541748, 0.00020088117162231356)","(0.2777842879295349, 0.940375804901123, 0.0002130589127773419)","(0.21735329926013947, 0.9773658514022827, 0.00024352547188755125)","(0.8218700289726257, 0.7867013812065125, 2.876257713069208e-05)","(0.3047182559967041, 0.9749518036842346, 3.1708486858406104e-07)","(0.36207833886146545, 0.9928950667381287, 3.199879074600176e-06)","(0.884588360786438, 0.44404321908950806, 3.5379713381189504e-07)"
732,40-3_UTSW_temporal_6E10/40-3_UTSW_temporal_6E10_13_23_29.jpg,"(0.9811525344848633, 0.9752551913261414, 0.0015793571947142482)","(0.967409610748291, 0.9865299463272095, 4.142205216339789e-05)","(0.9655666947364807, 0.901443600654602, 1.0940845641016494e-05)","(0.8163819909095764, 0.9813703894615173, 0.0003364220610819757)","(0.9862414598464966, 0.8206775188446045, 4.0666095628694165e-06)","(0.6689987778663635, 0.9999794960021973, 0.0006970114191062748)","(0.8728014230728149, 0.9294008016586304, 4.3550084228627384e-05)"
733,8-3_UTSW_temporal_6E10/8-3_UTSW_temporal_6E10_17_38_26.jpg,"(0.0001072921440936625, 0.5499313473701477, 0.9620896577835083)","(0.0005149794742465019, 0.6839989423751831, 0.9958528280258179)","(0.03220498561859131, 0.4409388601779938, 0.973909854888916)","(2.9166098101995885e-05, 0.007463800720870495, 0.8321439623832703)","(0.009286588057875633, 0.48047348856925964, 0.9121014475822449)","(0.004156311042606831, 0.5462931990623474, 0.9437282681465149)","(0.0028401778545230627, 0.8762440085411072, 0.8546301126480103)"
734,17-3_UTSW_temporal_6E10/17-3_UTSW_temporal_6E10_18_21_48.jpg,"(0.8813800811767578, 0.20964916050434113, 0.006722975987941027)","(0.9502604007720947, 0.12143459916114807, 0.0011506627779453993)","(0.8368504047393799, 0.4288758635520935, 0.0014053735649213195)","(0.6017764806747437, 0.5792473554611206, 0.0009132165578193963)","(0.8498976826667786, 0.44735023379325867, 0.0002732030989136547)","(0.9607976675033569, 0.4320145547389984, 0.0006231830921024084)","(0.5949435830116272, 0.5986579060554504, 0.007422748953104019)"
735,NA15UCDtemporalgyri _4G8/NA15UCDtemporalgyri _4G8_14_32_11.jpg,"(0.006761749740689993, 0.002380514284595847, 0.9999738931655884)","(4.408439053804614e-06, 0.008497262373566628, 0.9924948215484619)","(1.4805744285695255e-05, 8.005952258827165e-05, 0.9539940357208252)","(7.1235155019167e-07, 0.0002152972883777693, 0.9976992011070251)","(0.00023696715652476996, 0.0007317606941796839, 0.9995811581611633)","(0.00440390408039093, 0.6674098968505859, 0.9306300282478333)","(1.0854265383386519e-05, 0.0003907891805283725, 0.9999003410339355)"
736,NA28UCDtemporalgyri _4G8/NA28UCDtemporalgyri _4G8_16_33_10.jpg,"(0.6682842373847961, 0.9633069634437561, 0.0007109911530278623)","(0.1176411435008049, 0.9939358830451965, 0.00024819199461489916)","(0.1680014729499817, 0.9916236996650696, 0.0013613533228635788)","(0.8510270714759827, 0.6481090188026428, 8.202413859237367e-09)","(0.8934940099716187, 0.928093671798706, 0.00012397461978252977)","(0.07622786611318588, 0.9815743565559387, 0.027406856417655945)","(0.8493902683258057, 0.6079075932502747, 0.0007652737549506128)"
737,cw15-12/cw15-12_27_38_34.jpg,"(3.054124135815073e-06, 0.0013370258966460824, 0.9999997615814209)","(0.0009580863988958299, 0.002361174440011382, 0.7228111624717712)","(0.00012091891403542832, 2.587796734587755e-05, 0.9349769949913025)","(3.599931733333506e-05, 0.00028625770937651396, 0.16500677168369293)","(1.1589008863666095e-06, 0.00013825487985741347, 0.8656156659126282)","(0.00021816176013089716, 0.002342493738979101, 0.9700217247009277)","(5.402460374170914e-06, 2.6256662749801762e-05, 0.9991023540496826)"
738,cw13-0/cw13-0_19_18_40.jpg,"(1.7275896198043483e-06, 1.4244895282899961e-05, 0.9999998807907104)","(0.00012431506183929741, 0.00017537160601932555, 0.9445293545722961)","(7.300217248484842e-07, 3.877560629916843e-06, 0.9946885108947754)","(3.022853150014271e-07, 6.716547795804217e-05, 0.3841531574726105)","(4.448876893548004e-07, 9.850897875196551e-09, 0.9657505750656128)","(0.00021925861074123532, 0.00041087029967457056, 0.9988391995429993)","(1.0313328857591841e-06, 5.053183122072369e-05, 0.9999994039535522)"
739,NA28UCDtemporalgyri _4G8/NA28UCDtemporalgyri _4G8_23_9_5.jpg,"(0.0016740199644118547, 0.5644251704216003, 0.9997716546058655)","(0.0022095690947026014, 0.00011528659524628893, 0.5308634042739868)","(6.186893415360828e-07, 0.017353631556034088, 0.9999923706054688)","(1.166590391221689e-05, 0.0011414031032472849, 0.687872052192688)","(1.8197599274571985e-05, 3.506532812025398e-05, 0.9988569021224976)","(0.019569728523492813, 0.0033168508671224117, 0.46863648295402527)","(0.0002679335593711585, 0.0030404110439121723, 0.9507746696472168)"
740,8-3_UTSW_temporal_6E10/8-3_UTSW_temporal_6E10_7_21_13.jpg,"(2.4734757175792765e-07, 0.8659681081771851, 1.0)","(0.0005325190722942352, 0.8352799415588379, 0.6287543773651123)","(0.008975408971309662, 0.9975098371505737, 0.8739103078842163)","(4.76688910566736e-06, 0.003512588096782565, 0.9999676942825317)","(3.3087525252994965e-07, 0.9893574118614197, 0.9995821118354797)","(0.017758909612894058, 0.9996511936187744, 0.03711395338177681)","(0.000425056554377079, 0.9623915553092957, 0.9999983310699463)"
741,NA37UCDtemporalgyri _4G8/NA37UCDtemporalgyri _4G8_16_21_17.jpg,"(0.4442819356918335, 0.8704578876495361, 0.10839297622442245)","(0.8350827097892761, 0.9319855570793152, 2.870185926440172e-05)","(0.7382115125656128, 0.9907885193824768, 5.5394713854184374e-05)","(0.6935082674026489, 0.857981264591217, 0.0005829717265442014)","(0.8739063739776611, 0.9409832954406738, 0.0007031933055259287)","(0.0009300077217631042, 0.9999915361404419, 0.0003986647061537951)","(0.7815161347389221, 0.513440728187561, 2.0533072529360652e-05)"
742,NA28UCDtemporalgyri _4G8/NA28UCDtemporalgyri _4G8_19_7_4.jpg,"(0.001858522417023778, 0.0007840280886739492, 0.9998816251754761)","(0.00046619345084764063, 0.0005329897976480424, 0.8223405480384827)","(2.887089976866264e-06, 0.0016196019714698195, 0.999996542930603)","(1.437159085071471e-06, 0.00014786045358050615, 0.7546612024307251)","(5.164521644474007e-05, 3.311131877126172e-05, 0.9923600554466248)","(0.00024059768475126475, 0.005859410855919123, 0.999523401260376)","(1.512869545194917e-07, 3.8583493733312935e-06, 0.9997854828834534)"
743,NA37UCDtemporalgyri _4G8/NA37UCDtemporalgyri _4G8_14_29_47.jpg,"(0.35540571808815, 0.6275612711906433, 0.0008473751368001103)","(0.208940789103508, 0.8094598650932312, 0.00011543069558683783)","(0.6382209062576294, 0.6620845794677734, 2.2303514924715273e-05)","(0.7438048720359802, 0.2871581017971039, 1.1244632247553454e-07)","(0.4132344424724579, 0.5199459195137024, 0.02793862111866474)","(0.505305290222168, 0.9599384069442749, 1.1744703442673199e-05)","(0.030898921191692352, 0.9375776052474976, 2.2886066290084273e-05)"
744,NA37UCDtemporalgyri _4G8/NA37UCDtemporalgyri _4G8_18_23_36.jpg,"(0.6470084190368652, 0.8434630632400513, 0.0001193165298900567)","(0.40631425380706787, 0.5166745185852051, 0.001134467776864767)","(0.980400562286377, 0.5759689211845398, 2.5167869921460806e-07)","(0.9551960229873657, 0.16071510314941406, 2.5878924247990653e-07)","(0.851564347743988, 0.4663035571575165, 7.91620635709478e-08)","(0.029352907091379166, 0.996466875076294, 0.00015602385974489152)","(0.08536981791257858, 0.9561431407928467, 8.084895853244234e-06)"
